codgeo;libgeo;an;apl_mg_65_hmep
00151;Lécluse;2018;2,50
00152;Olonzac;2018;3,00
00153;Cussey-sur-l'Ognon;2018;3,80
00154;Aumale;2018;2,80
00155;Gouy-sous-Bellonne;2018;3,10
00156;Bessé-sur-Braye;2018;2,30
00157;Incheville;2018;3,60
00158;Gamaches;2018;3,20
00159;Entre-deux-Guiers;2018;2,40
00160;Sablons;2018;4,00
00161;Arleux;2018;2,90
00162;Blangy-sur-Bresle;2018;3,30
00163;Vayrac;2018;3,80
00164;Saint-Georges-sur-Cher;2018;3,00
00165;Seyssel;2018;1,60
00166;Saint-Ouen-de-Thouberville;2018;3,50
00167;Châtenois-les-Forges;2018;4,30
00251;Pontacq;2018;3,00
00252;Plestin-les-Grèves;2018;3,50
00253;Ivry-la-Bataille;2018;2,80
00254;Montréjeau;2018;3,30
00255;Descartes;2018;2,80
00256;Chazelles-sur-Lyon;2018;3,80
00257;Chauffailles;2018;2,50
00258;Chagny;2018;2,90
00259;Castillon-la-Bataille;2018;3,40
00260;Aire-sur-l'Adour;2018;3,60
00261;Terrasson-Lavilledieu;2018;2,30
00262;Raon-l'Étape;2018;3,80
00263;Condé-en-Normandie;2018;3,20
00264;Beaucourt;2018;2,50
00265;Le Malesherbois;2018;2,50
00266;Souppes-sur-Loing;2018;2,50
00267;Carhaix-Plouguer;2018;3,10
00268;Saint-Rambert-d'Albon;2018;2,90
00269;Pontcharra;2018;4,00
00270;Digoin;2018;2,30
00351;Brassac-les-Mines;2018;4,10
00352;Montpon-Ménestérol;2018;3,30
00353;Saint-Vallier;2018;3,40
00354;Épernon;2018;2,80
00355;Ézy-sur-Eure;2018;2,70
00356;Saint-Lubin-des-Joncherets-Nonancourt;2018;1,80
00357;Gisors;2018;2,20
00358;Allevard;2018;3,50
00359;Eu;2018;3,90
00360;Valserhône;2018;2,50
00361;Le Grau-du-Roi;2018;3,60
00362;Clisson;2018;3,60
00451;Belleville-en-Beaujolais;2018;3,60
00452;Esch-sur-Alzette (LUX)-Villerupt (partie française);2018;2,50
00453;Le Pont-de-Beauvoisin;2018;2,80
00454;Honfleur;2018;3,40
00455;Jœuf;2018;3,90
00456;Redon;2018;3,00
00457;Saint-Laurent-de-la-Salanque;2018;3,20
00458;Marmande;2018;3,30
00459;Tournon-sur-Rhône;2018;3,10
00460;Saint-Dizier;2018;3,20
00461;Beaucaire;2018;2,90
00462;Dinard;2018;4,30
00463;Persan-Beaumont-sur-Oise;2018;3,00
00464;Alençon;2018;2,50
00465;Sallanches;2018;4,50
00551;Lunel;2018;4,90
00552;Arles;2018;4,20
00553;Montélimar;2018;3,60
00554;Mâcon;2018;3,70
00555;Bergerac;2018;3,20
00556;Saint-Omer;2018;4,10
00557;Brive-la-Gaillarde;2018;3,90
00558;Belfort;2018;3,90
00559;Vienne;2018;3,20
00651;Montbéliard;2018;4,00
00652;Valence;2018;4,00
