Commune;Population standardisée par la consommation de soins de médecine générale par tranche d'âge;APL aux médecins généralistes
01001;770,3848114;2,598084588
01002;246,0833892;2,888467151
01004;13676,94564;4,568920589
01005;1651,149427;4,190328413
01006;116,5759779;0,860508668
01007;2655,318053;4,853161721
01008;717,1655688;4,201155794
01009;344,8976974;3,921773428
01010;1078,021582;1,980994658
01011;367,0715952;1,445230829
01012;346,1921284;1,550965376
01013;147,4418824;0,379595086
01014;3353,176342;2,127046176
01015;666,5991777;2,771137793
01016;455,6105763;2,16907515
01017;455,6682292;1,138785259
01019;31,22219431;0
01021;1359,297136;1,838060912
01022;1286,352543;3,896479639
01023;67,12961501;0,949173844
01024;3098,656224;3,84495621
01025;3994,63286;2,805546798
01026;973,6551586;3,478442594
01027;2332,367099;3,130075499
01028;590,3218192;2,599217064
01029;688,7101284;2,847495013
01030;835,6631166;3,95845509
01031;3527,026883;3,144944023
01032;3182,269335;1,371481057
01033;16039,01976;2,891786034
01034;9396,054034;3,827107244
01035;317,5347977;3,286185257
01036;1381,753728;3,447702121
01037;302,4662245;0,952112545
01038;756,2826802;2,514595036
01039;459,5728469;4,837834887
01040;471,9911954;2,32860417
01041;750,82445;4,745114534
01042;276,1839617;2,529657029
01043;4579,447122;3,013488583
01044;592,8843607;1,624692086
01045;267,165694;3,445381798
01046;852,5170977;2,067133403
01047;934,8291029;3,490674842
01049;3140,454951;3,018663215
01050;329,5782801;1,502207406
01051;100,6484203;0,495932796
01052;340,2461559;3,391025304
01053;42136,11884;3,998167935
01054;1289,94272;1,754974337
01056;349,4603538;0,749750247
01057;493,3928576;1,899158341
01058;821,0573064;1,497640223
01060;534,6114832;2,136684436
01061;1126,765625;3,667049881
01062;881,9408306;1,966865771
01063;531,4594733;3,478417425
01064;959,7857767;2,762747764
01065;1797,134815;2,680682611
01066;76,70998841;0,228067666
01067;243,9706352;2,265663312
01068;806,6737018;2,060628454
01069;1464,013107;3,550387607
01071;4468,994525;2,825971826
01072;3193,002696;3,256675744
01073;1043,125958;5,0216466
01074;2439,438679;2,872111178
01075;1266,995886;2,653542361
01076;145,1325204;1,075250882
01077;199,1913404;0,748350357
01078;1461,619489;1,805689768
01079;913,7467718;2,742864358
01080;655,7051097;2,592112086
01081;736,4061494;1,441495997
01082;582,9455726;0,656525226
01083;871,1658866;2,814370705
01084;818,5757539;2,121433697
01085;379,3167881;3,471291716
01087;284,2009928;0,639296211
01088;876,4246107;2,401080418
01089;2047,385952;5,614990213
01090;345,5686338;1,843965693
01092;1564,928196;3,798911603
01093;5164,10298;2,236399323
01094;763,5494928;1,549317062
01095;792,6914572;2,092708184
01096;989,9152917;2,147014579
01098;1123,926483;4,077444332
01099;1479,617386;4,04829895
01100;150,9682777;2,131353254
01101;154,1102072;1,729862274
01102;910,7486053;1,923455237
01103;1690,218168;3,045532408
01104;459,8192286;0,666160773
01105;1611,96932;4,051747835
01106;178,9711513;1,559503366
01107;136,7933644;0,375231195
01108;1289,500907;3,034477999
01109;2040,450293;2,499758255
01110;142,5512088;0,821504298
01111;125,4824966;0,750462391
01112;386,0683993;2,696917713
01113;804,6830117;2,044249432
01114;686,2152514;2,770112853
01115;1268,277658;2,379034661
01116;522,0192158;2,418488993
01117;146,3724599;0,821504298
01118;1286,614362;1,274147472
01121;110,6056135;1,924135117
01123;1141,83696;3,632940812
01124;685,8656651;2,231245795
01125;613,3481655;1,793337458
01127;526,6565608;1,969102808
01128;309,8665533;2,285355962
01129;282,2829663;1,306307764
01130;2180,926448;2,587983381
01133;397,3059516;4,073837854
01134;1729,271107;3,942150023
01135;2007,070435;1,804290846
01136;845,8448143;2,682986383
01138;3041,645506;3,525105393
01139;467,8721304;1,737602102
01140;791,6349607;2,142906024
01141;458,7497072;4,958352661
01142;4471,548827;3,439505198
01143;9416,622636;1,799279476
01145;1156,35738;1,863711068
01146;409,6093161;2,607979204
01147;490,3346165;2,521638475
01148;1843,820434;1,971741188
01149;1017,999723;4,29670305
01150;209,4209948;1,999992114
01151;1199,562465;3,439855822
01152;751,6217905;0
01153;1990,063731;2,563540293
01155;151,0912136;0,004363891
01156;777,238394;1,757354198
01157;2181,860587;3,434481176
01158;983,2519568;1,864595939
01159;3359,556054;3,628455394
01160;9249,382734;2,246793223
01162;67,51727813;4,479024373
01163;2112,804939;2,47767692
01165;1518,616324;3,042348747
01166;2296,900465;3,118743004
01167;652,136688;1,978186921
01169;580,6364935;3,052916708
01170;977,4385585;2,647217905
01171;858,4329701;2,089766461
01173;12190,8563;2,543224316
01174;179,9339308;3,297199842
01175;835,4909342;1,768817611
01177;185,8845141;1,340909744
01179;1908,205568;3,288626705
01180;825,7327016;2,363355378
01181;1213,749412;2,729062672
01183;1426,297733;2,537190027
01184;772,1441748;2,222743828
01185;5208,506901;2,419366629
